sinh(-2*x)	-2*x - 4*x**3/3
(6*x**3+9)*cos(4*x-6)	9*cos(6) + 36*x*sin(6) - 72*x**2*cos(6) + x**3*(6*cos(6) - 96*sin(6)) + x**4*(24*sin(6) + 96*cos(6))
(6*x/5)*exp(-3*x+5)-exp(-3*x**3-5)/tanh(8*x**3-6)	exp(-5)/tanh(6) + 6*x*exp(5)/5 - 18*x**2*exp(5)/5 + x**3*(-3*exp(-5)/tanh(6) + (-8*tanh(6) + 8/tanh(6))*exp(-5)/tanh(6) + 27*exp(5)/5) - 27*x**4*exp(5)/5
sin(-6*x**3/4)	-3*x**3/2
sinh(3*x-9)	-sinh(9) + 3*x*cosh(9) - 9*x**2*sinh(9)/2 + 9*x**3*cosh(9)/2 - 27*x**4*sinh(9)/8
-exp(-7*x+8)-(6*x**2-9)*cosh(-9*x+9)	9*cosh(9) - exp(8) + x*(-81*sinh(9) + 7*exp(8)) + x**2*(-49*exp(8)/2 + 717*cosh(9)/2) + x**3*(-2079*sinh(9)/2 + 343*exp(8)/6) + x**4*(-2401*exp(8)/24 + 17739*cosh(9)/8)
-(8*x**2-2)*sin(4*x**2/2)-(9*x**2/6)*tan(-2*x**3/3)	4*x**2 - 16*x**4
ln(7*x**2/4)+exp(-7*x**2+2)+(4*x**3-2)*sinh(3*x**3-3)	2*sinh(3) + exp(2) + log(7/4) + 2*log(x) - 7*x**2*exp(2) + x**3*(-6*cosh(3) - 4*sinh(3)) + 49*x**4*exp(2)/2
-exp(9*x**2+3)/(2*x**2+7)*exp(3*x**2/6)	-exp(3)/7 - 129*x**2*exp(3)/98 - 16657*x**4*exp(3)/2744
(2*x**2-3)*exp(9*x+7)	-3*exp(7) - 27*x*exp(7) - 239*x**2*exp(7)/2 - 693*x**3*exp(7)/2 - 5913*x**4*exp(7)/8
(9*x/5)*tan(-2*x/7)+cosh(9*x**3+3)/cos(7*x**3+1)	cosh(3)/cos(1) - 18*x**2/35 + x**3*(9*sinh(3)/cos(1) + 7*sin(1)*cosh(3)/cos(1)**2) - 24*x**4/1715
(6*x**3-1)*sin(-5*x/6)+exp(-2*x**3+9)/tanh(-8*x**3-2)	-exp(9)/tanh(2) + 5*x/6 + x**3*(-125/1296 - (-8/tanh(2) + 8*tanh(2))*exp(9)/tanh(2) + 2*exp(9)/tanh(2)) - 5*x**4
-(4*x**3-2)*tanh(-9*x**3/9)	-2*x**3
-(6*x**2-1)*tanh(9*x/9)-(6*x/5)*exp(7*x**3/9)	-x/5 - 19*x**3/3 - 14*x**4/15
-(2*x**2+7)*sin(-6*x**2/9)+(2*x-7)*tan(7*x**3/3)/(5*x**3+4)*cos(-9*x**3+8)	14*x**2/3 - 49*x**3*cos(8)/12 + x**4*(7*cos(8)/6 + 4/3)
sin(-5*x**2)+exp(-9*x**2-8)-sin(2*x**2/5)	exp(-8) + x**2*(-27/5 - 9*exp(-8)) + 81*x**4*exp(-8)/2
sinh(2*x**2/2)	x**2
-(3*x/9)*cosh(4*x**3+1)-cosh(7*x+3)-(3*x**2+1)*sin(2*x**3/2)	-cosh(3) + x*(-7*sinh(3) - cosh(1)/3) - 49*x**2*cosh(3)/2 + x**3*(-343*sinh(3)/6 - 1) + x**4*(-2401*cosh(3)/24 - 4*sinh(1)/3)
-cos(-2*x+6)	-cos(6) - 2*x*sin(6) + 2*x**2*cos(6) + 4*x**3*sin(6)/3 - 2*x**4*cos(6)/3
-(5*x**3)*cos(7*x**2-4)	-5*x**3*cos(4)
exp(-3*x+1)-tan(3*x**3-9)/(5*x**2/5)*exp(-6*x-1)	exp(-1)*tan(9)/x**2 - 6*exp(-1)*tan(9)/x + E + 18*exp(-1)*tan(9) + x*(-3*E - 3*exp(-1) - 3*exp(-1)*tan(9)**2 - 36*exp(-1)*tan(9)) + x**2*(54*exp(-1)*tan(9) + 18*exp(-1)*tan(9)**2 + 18*exp(-1) + 9*E/2) + x**3*(-54*exp(-1) - 9*E/2 - 54*exp(-1)*tan(9)**2 - 324*exp(-1)*tan(9)/5) + x**4*(369*exp(-1)*tan(9)/5 + 9*exp(-1)*tan(9)**3 + 108*exp(-1)*tan(9)**2 + 27*E/8 + 108*exp(-1))
-tan(-7*x-2)/(5*x/6)*exp(-3*x+1)	6*E*tan(2)/(5*x) + 42*E*tan(2)**2/5 + 42*E/5 - 18*E*tan(2)/5 + x*(294*E*tan(2)**3/5 + 321*E*tan(2)/5 - 126*E*tan(2)**2/5 - 126*E/5) + x**2*(175*E - 909*E*tan(2)/5 - 882*E*tan(2)**3/5 + 2933*E*tan(2)**2/5 + 2058*E*tan(2)**4/5) + x**3*(14406*E*tan(2)**5/5 + 25333*E*tan(2)**3/5 - 6174*E*tan(2)**4/5 - 8421*E*tan(2)**2/5 + 43789*E*tan(2)/20 - 2247*E/5) + x**4*(333487*E/100 - 602943*E*tan(2)/100 + 2535547*E*tan(2)**2/100 - 73353*E*tan(2)**3/5 - 43218*E*tan(2)**5/5 + 42189*E*tan(2)**4 + 100842*E*tan(2)**6/5)
tanh(-6*x**2/4)-exp(2*x)	-1 - 2*x - 7*x**2/2 - 4*x**3/3 - 2*x**4/3
-sin(-3*x**3-7)+exp(2*x/2)	1 + sin(7) + x + x**2/2 + x**3*(1/6 + 3*cos(7)) + x**4/24
sin(-9*x**3/3)+cosh(7*x/3)	1 + 49*x**2/18 - 3*x**3 + 2401*x**4/1944
tan(3*x**2+3)-cosh(3*x**3-9)+(3*x**3+6)*sin(-6*x+7)	6*sin(7) + tan(3) - cosh(9) - 36*x*cos(7) + x**2*(-108*sin(7) + 3*tan(3)**2 + 3) + x**3*(3*sin(7) + 216*cos(7) + 3*sinh(9)) + x**4*(-18*cos(7) + 9*tan(3) + 9*tan(3)**3 + 324*sin(7))
-exp(-4*x**2-9)	-exp(-9) + 4*x**2*exp(-9) - 8*x**4*exp(-9)
(7*x-3)*exp(8*x**2-1)	-3*exp(-1) + 7*x*exp(-1) - 24*x**2*exp(-1) + 56*x**3*exp(-1) - 96*x**4*exp(-1)
tanh(2*x**3-6)	-tanh(6) + x**3*(2 - 2*tanh(6)**2)
-sin(-5*x**2+1)+(5*x+1)*tanh(3*x**3/2)	-sin(1) + 5*x**2*cos(1) + 3*x**3/2 + x**4*(15/2 + 25*sin(1)/2)
-(8*x+5)*exp(-5*x+5)	-5*exp(5) + 17*x*exp(5) - 45*x**2*exp(5)/2 + 25*x**3*exp(5)/6 + 875*x**4*exp(5)/24
exp(-3*x**3/2)-cos(7*x**2/8)	-3*x**3/2 + 49*x**4/128
(4*x/7)*cosh(3*x**2+9)-tan(3*x+9)	-tan(9) + x*(-3 - 3*tan(9)**2 + 4*cosh(9)/7) + x**2*(-9*tan(9)**3 - 9*tan(9)) + x**3*(-9 - 36*tan(9)**2 - 27*tan(9)**4 + 12*sinh(9)/7) + x**4*(-81*tan(9)**5 - 135*tan(9)**3 - 54*tan(9))
-cos(5*x**2+2)+sinh(-9*x**2/2)	-cos(2) + x**2*(-9/2 + 5*sin(2)) + 25*x**4*cos(2)/2
exp(7*x/5)/exp(-5*x+7)	exp(-7) + 32*x*exp(-7)/5 + 512*x**2*exp(-7)/25 + 16384*x**3*exp(-7)/375 + 131072*x**4*exp(-7)/1875
-(7*x-3)*cos(7*x**2/8)/cosh(8*x**3+5)/tanh(7*x**2/7)	3/(x**2*cosh(5)) - 7/(x*cosh(5)) - 24*x*sinh(5)/cosh(5)**2 + x**2*(-19/(128*cosh(5)) + 56*sinh(5)/cosh(5)**2) + 133*x**3/(384*cosh(5)) + 3*x**4*(-32 + 64*sinh(5)**2/cosh(5)**2)/cosh(5)
(9*x**3+4)*exp(-9*x+5)	4*exp(5) - 36*x*exp(5) + 162*x**2*exp(5) - 477*x**3*exp(5) + 2025*x**4*exp(5)/2
-sinh(-3*x**3+3)+(8*x**2-3)*exp(-2*x**2+1)	-3*E - sinh(3) + 14*E*x**2 + 3*x**3*cosh(3) - 22*E*x**4
-(3*x**3+2)*cosh(-3*x**2/2)	-2 - 3*x**3 - 9*x**4/4
exp(6*x**3-6)+sin(3*x**2/7)/(9*x**3-8)*sin(9*x**3+8)	exp(-6) - 3*x**2*sin(8)/56 + 6*x**3*exp(-6)
